Day,Month,Year,Value Schleswig-Holstein,Comment SH,Value Hamburg,Comment HH,Value Niedersachsen,Comment NI,Value Bremen,Comment HB,Value Nordrhein-West.,Comment NW,Value Hessen,Comment Hessen,Value Rheinland-Pfalz,Comment RP,Value Baden-Württemberg,Comment BW,Value Bayern,Comment BY,Value Saarland,Comment SL,Value Berlin,Comment BE,Value Brandenburg,Comment BB,Value Mecklenburg-Vorpommern,Comment MV,Value Sachsen,Comment SN,Value Sachsen-Anhalt,Comment ST,Value Thüringen,Comment Thüringen
31,5,2020,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
7,6,2020,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
14,6,2020,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
21,6,2020,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
28,6,2020,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
5,7,2020,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
12,7,2020,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
19,7,2020,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
26,7,2020,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
2,8,2020,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
9,8,2020,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
16,8,2020,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
23,8,2020,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
30,8,2020,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
6,9,2020,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
13,9,2020,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
20,9,2020,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
27,9,2020,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
4,10,2020,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
11,10,2020,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
18,10,2020,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
25,10,2020,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
1,11,2020,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
8,11,2020,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
15,11,2020,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
22,11,2020,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
29,11,2020,0,,0,,0,,0,,0,keine Ausgangssperren vor dem 14.12. s.,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,
6,12,2020,0,,0,,0,,0,,0,https://www1.wdr.de/nachrichten/themen/coronavirus/lockdown-weihnachten-ferien-einkaufen-100.html,0,,0,Ab dem 5.12. nur mancherorts nächtliche Ausgangssperren: https://www.morgenpost.de/vermischtes/article231069060/In-diesen-Staedten-und-Kreisen-gelten-Ausgangsbeschraenkungen.html,0,Ab dem 4.12. nur mancherorts: https://www.enzkreis.de/output/download.php?fid=2891.3630.1.PDF,0,,0,,0,,0,,0,,0,,0,,0,
13,12,2020,0,Hier steht dass es vor 2021 nie eine Ausgangssperre gab: https://www.shz.de/deutschland-welt/schleswig-holstein/artikel/corona-pandemie-erste-ausgangssperre-in-schleswig-holstein-20803248,0,,0,,0,,0,https://www.ruhr24.de/nrw/ausgangssperre-corona-nrw-welche-staedte-kreise-inzidenz-bedeutung-oberhausen-silvester-90149834.html,0,Ab 11.12. nächtliche Ausgangssperren in nur wenigen Kreisen mit hoher Inzidenz: https://www.fnp.de/hessen/volker-bouffier-live-corona-coronavirus-hessen-regierungserklaerung-landtag-rede-cdu-ministerpraesident-zr-90125062.html,0,,1,Ab 12.12. landesweite nächtliche Ausgangsbeschränkung: https://www.baden-wuerttemberg.de/de/service/alle-meldungen/meldung/pid/baden-wuerttemberg-erlaesst-landesweite-ausgangsbeschraenkungen/,1,Ab dem 8.12.: https://www.verkuendung-bayern.de/baymbl/2020-711/,0,,0,,0,Erst ab dem 16.12. wieder: https://www.morgenpost.de/vermischtes/article231069060/In-diesen-Staedten-und-Kreisen-gelten-Ausgangsbeschraenkungen.html,0,,1,Ab dem 12.12.: https://web.archive.org/web/20210128111705/https://www.laenderrecht.de/media/upload//0332%20-%20SaechsGVBl_2020-37_LV.pdf#page=2,0,Verordnung vom 15.12. erlaubt auch das Zusammentreffen von bis zu 5 Personen im öffentlichen Raum: https://kripoz.de/wp-content/uploads/2020/12/9._VO_unterschrieben.pdf,0,Erst ab dem 14./18. Dezember: https://parldok.thueringer-landtag.de/ParlDok/dokument/78963/gesetz_und_verordnungsblatt_nr_31_2020.pdf
