date,sunrise,sunset,daylight
2020-01-01,2024-04-10T07:17:00Z,2024-04-10T15:02:00Z,7.75
2020-01-02,2024-04-10T07:16:00Z,2024-04-10T15:03:00Z,7.783333333333333
2020-01-03,2024-04-10T07:16:00Z,2024-04-10T15:04:00Z,7.8
2020-01-04,2024-04-10T07:16:00Z,2024-04-10T15:05:00Z,7.816666666666666
2020-01-05,2024-04-10T07:16:00Z,2024-04-10T15:06:00Z,7.833333333333333
2020-01-06,2024-04-10T07:15:00Z,2024-04-10T15:08:00Z,7.883333333333334
2020-01-07,2024-04-10T07:15:00Z,2024-04-10T15:09:00Z,7.9
2020-01-08,2024-04-10T07:14:00Z,2024-04-10T15:10:00Z,7.933333333333334
2020-01-09,2024-04-10T07:14:00Z,2024-04-10T15:12:00Z,7.966666666666667
2020-01-10,2024-04-10T07:13:00Z,2024-04-10T15:13:00Z,8
2020-01-11,2024-04-10T07:13:00Z,2024-04-10T15:14:00Z,8.016666666666667
2020-01-12,2024-04-10T07:12:00Z,2024-04-10T15:16:00Z,8.066666666666666
2020-01-13,2024-04-10T07:11:00Z,2024-04-10T15:17:00Z,8.1
2020-01-14,2024-04-10T07:11:00Z,2024-04-10T15:19:00Z,8.133333333333333
2020-01-15,2024-04-10T07:10:00Z,2024-04-10T15:20:00Z,8.166666666666666
2020-01-16,2024-04-10T07:09:00Z,2024-04-10T15:22:00Z,8.216666666666667
2020-01-17,2024-04-10T07:08:00Z,2024-04-10T15:24:00Z,8.266666666666667
2020-01-18,2024-04-10T07:07:00Z,2024-04-10T15:25:00Z,8.3
2020-01-19,2024-04-10T07:06:00Z,2024-04-10T15:27:00Z,8.35
2020-01-20,2024-04-10T07:05:00Z,2024-04-10T15:29:00Z,8.4
2020-01-21,2024-04-10T07:03:00Z,2024-04-10T15:30:00Z,8.45
2020-01-22,2024-04-10T07:02:00Z,2024-04-10T15:32:00Z,8.5
2020-01-23,2024-04-10T07:01:00Z,2024-04-10T15:34:00Z,8.55
2020-01-24,2024-04-10T07:00:00Z,2024-04-10T15:36:00Z,8.6
2020-01-25,2024-04-10T06:58:00Z,2024-04-10T15:38:00Z,8.666666666666666
2020-01-26,2024-04-10T06:57:00Z,2024-04-10T15:39:00Z,8.7
2020-01-27,2024-04-10T06:56:00Z,2024-04-10T15:41:00Z,8.75
2020-01-28,2024-04-10T06:54:00Z,2024-04-10T15:43:00Z,8.816666666666666
